mp_id,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,formation_energy (eV/atom),energy_above_hull (eV/atom),band_gap (eV),A_site,B_site,X_site
mp-973396,K1 Be1 O3,3.771574,3.771574,3.771574,90.0,90.0,90.0,cubic,Pm-3m,-1.193306335,0.635952091,0.0,K,Be,O
mp-29799,K1 Bi1 O3,10.06653795,10.06653795,10.06653795,90.0,90.0,90.0,cubic,Pn-3,-1.572585076,0.0,0.4914,K,Bi,O
mp-676536,K1 Bi1 O3,8.754482,8.990079569,22.17956562,97.23607675,96.20583412,109.9529972,tri,P1,-1.541713024,0.030872052,0.1862,K,Bi,O
mp-863367,K1 Bi1 O3,8.640119551,8.640119551,10.03376254,55.82079292,55.82079292,71.9043772,mono,C2/m,-1.563133505,0.009451571,0.4906,K,Bi,O
mp-982040,K1 Bi1 O3,4.284204,4.284204,4.284204,90.0,90.0,90.0,cubic,Pm-3m,-1.479716392,0.092868684,0.0,K,Bi,O
mp-22958,K1 Br1 O3,4.394010315,4.394010476,4.394009926,85.10928319,85.1092845,85.109288,trig,R3m,-1.044634649,0.0,3.8569,K,Br,O
mp-1105868,K1 C1 O3,10.319265,4.493736,7.776970041,63.69828552,90.0,90.0,mono,P2_1/c,-1.799117634,0.011834445,0.0964,K,C,O
mp-1106094,K1 C1 O3,5.786966,4.005711,15.32873122,80.49497619,90.0,90.0,mono,P2_1/c,-1.810952079,0.0,0.8756,K,C,O
mp-31302,K1 C1 O3,11.095666,7.305058,8.541060884,68.65409126,90.0,90.0,mono,P2_1/c,-1.736230414,0.074721665,4.1733,K,C,O
mp-1211648,K1 Ca1 Br3,7.58990711,8.05949747,10.97533155,90.0,90.0,90.0,ortho,Pnma,-2.263987169,0.0054324,4.5753,K,Ca,Br
mp-998599,K1 Ca1 Br3,4.267215332,7.380736496,10.75417137,90.00076391,90.00054285,106.7969679,ortho,Cmcm,-2.269419568,0.0,4.4047,K,Ca,Br
mp-998749,K1 Ca1 Br3,5.721591971,5.721591971,5.716306997,89.8982365,89.8982365,89.88657753,mono,Cm,-2.214869202,0.054550366,3.8983,K,Ca,Br
mp-1211589,K1 Ca1 Cl3,5.393523,5.393523,5.393523,90.0,90.0,90.0,cubic,Pm-3m,-2.441813669,0.045733154,4.7635,K,Ca,Cl
mp-1211643,K1 Ca1 Cl3,7.20898851,7.59169634,10.45793088,90.0,90.0,90.0,ortho,Pnma,-2.487546824,0.0,5.5615,K,Ca,Cl
mp-998421,K1 Ca1 Cl3,7.234241455,7.234241885,8.027073376,63.21683877,63.21683933,60.00000336,trig,R-3,-2.469390557,0.018156267,5.616,K,Ca,Cl
mp-998601,K1 Ca1 Cl3,5.407372225,5.407372225,5.406517026,89.99604413,89.99604413,90.021713,mono,Cm,-2.441880645,0.045666178,4.7457,K,Ca,Cl
mp-4950,K1 Ca1 F3,4.481726,4.481726,4.481726,90.0,90.0,90.0,cubic,Pm-3m,-3.696861995,0.023864284,6.1392,K,Ca,F
mp-5926,K1 Ca1 F3,6.12777352,6.22062595,8.71579992,90.0,90.0,90.0,ortho,Pnma,-3.720726279,0.0,6.6502,K,Ca,F
mp-643749,K1 Ca1 F3,8.874099,6.224743,6.272645949,89.60780972,90.0,90.0,mono,P2_1/m,-3.718699542,0.002026737,6.5991,K,Ca,F
mp-1105914,K1 Ca1 H3,6.311777,6.322585,8.933021,90.0,90.0,90.0,ortho,Pnma,-0.479209978,0.036747629,3.3257,K,Ca,H
mp-1205722,K1 Ca1 I3,7.936552371,7.936552371,11.6910337,90.0,90.0,146.3266831,ortho,Cmcm,-1.793116879,0.011525593,3.6024,K,Ca,I
mp-982885,K1 Ca1 O3,4.568674,4.568674,4.568674,90.0,90.0,90.0,cubic,Pm-3m,-1.470941566,0.439582296,0.0,K,Ca,O
mp-23442,K1 Cd1 Cl3,4.01365267,8.85064146,14.6107019,90.0,90.0,90.0,ortho,Pnma,-1.669085436,0.0,3.5095,K,Cd,Cl
mp-10175,K1 Cd1 F3,4.38208902,4.38208902,4.38208902,90.0,90.0,90.0,cubic,Pm-3m,-2.676842727,0.025577015,3.1006,K,Cd,F
mp-9628,K1 Cd1 F3,6.18108562,6.08209058,8.64136873,90.00001605,90.0,90.0,ortho,Pnma,-2.702419742,0.0,3.3539,K,Cd,F
mp-1211584,K1 Cd1 N3,4.567068,4.567068,4.567068,90.0,90.0,90.0,cubic,Pm-3m,1.597863704,1.778230008,0.0,K,Cd,N
mp-1184992,K1 Cd1 O3,4.339857,4.339857,4.339857,90.0,90.0,90.0,cubic,Pm-3m,-0.72398521,0.402591434,0.0,K,Cd,O
mp-23022,K1 Cl1 O3,5.701289,4.751184,7.236104033,70.72898769,90.0,90.0,mono,P2_1/m,-1.148730937,0.050930347,5.4717,K,Cl,O
mp-550506,K1 Cl1 O3,4.529572447,4.529572447,4.529572644,80.01503014,80.01503014,80.01502564,trig,R3m,-1.137667926,0.061993358,5.0728,K,Cl,O
mp-556084,K1 Cl1 O3,4.736659,5.719557,13.665051,90.0,90.0,90.0,ortho,Pnma,-1.148754435,0.050906849,5.5725,K,Cl,O
mp-1001793,K1 Co1 Cl3,6.887999122,6.887999122,6.887999485,60.59571006,60.59571006,60.59570643,trig,R3c,-1.427102693,0.087747533,0.0,K,Co,Cl
mp-559946,K1 Co1 F3,4.105255,4.105255,4.105255,90.0,90.0,90.0,cubic,Pm-3m,-2.443718599,0.159078602,0.0,K,Co,F
mp-1184947,K1 Co1 O3,3.87397,3.87397,3.87397,90.0,90.0,90.0,cubic,Pm-3m,-1.021574084,0.289261468,0.0,K,Co,O
mp-998397,K1 Cr1 Cl3,7.001840011,7.001840011,7.001839672,60.36852347,60.36852347,60.36852729,trig,R3c,-1.610524002,0.0198711,0.0,K,Cr,Cl
mp-998420,K1 Cr1 Cl3,4.97792,4.97792,4.970616,90.0,90.0,90.0,tet,P4mm,-1.60770294,0.022692162,0.0,K,Cr,Cl
mp-1180767,K1 Cr1 F3,5.84693191,5.84693191,5.84693191,118.271375,118.271375,93.02108626,tet,I4/mcm,-2.927415878,0.002180737,1.572,K,Cr,F
mp-1180782,K1 Cr1 F3,5.847078734,5.847078734,5.847078734,118.3605277,118.6222171,92.63364787,ortho,Ibam,-2.927570376,0.002026239,0.1574,K,Cr,F
mp-555036,K1 Cr1 F3,4.219636,4.219636,4.219636,90.0,90.0,90.0,cubic,Pm-3m,-2.843078847,0.086517768,0.0,K,Cr,F
mp-556365,K1 Cr1 F3,6.021007494,6.021007494,5.796128692,59.26580277,59.26580277,90.95246281,mono,C2/m,-2.929596615,0.0,1.4898,K,Cr,F
mp-560547,K1 Cr1 F3,5.914091052,5.914091052,5.914091052,121.0208247,121.0208247,88.24079061,tet,I4/m,-2.925991751,0.003604864,1.968,K,Cr,F
mp-566131,K1 Cr1 F3,4.09361,4.09361,4.600637,90.0,90.0,90.0,tet,P4/mmm,-2.902783367,0.026813248,0.7059,K,Cr,F
mp-1076732,K1 Cr1 O3,3.864733,3.864733,3.864733,90.0,90.0,90.0,cubic,Pm-3m,-1.671608068,0.390394812,0.0,K,Cr,O
mp-1023129,K1 Cu1 Cl3,4.79805545,4.79804927,4.79805133,90.0,90.0,90.0,cubic,Pm-3m,-1.26036129,0.030757297,0.0,K,Cu,Cl
mp-27450,K1 Cu1 Cl3,4.059829343,8.716180511,13.76344897,90.0,90.0,97.11185592,mono,P2_1/c,-1.291118587,0.0,0.2682,K,Cu,Cl
mp-636978,K1 Cu1 Cl3,14.372141,4.757822,9.830983692,89.24271194,90.0,90.0,mono,P2_1/c,-1.269174218,0.021944369,0.0684,K,Cu,Cl
mp-1080828,K1 Cu1 F3,3.95252198,5.773328732,5.773328732,90.03031512,90.0,90.0,tet,P4/mbm,-2.352463068,0.005410073,0.0,K,Cu,F
mp-3682,K1 Cu1 F3,5.754957273,5.754957273,5.754957273,119.8381527,119.8381527,90.28055705,tet,I4/mcm,-2.355485501,0.00238764,0.0,K,Cu,F
mp-556045,K1 Cu1 F3,6.329695506,6.329695506,6.329695506,111.6967346,111.6967346,105.1064025,tet,I4/mcm,-2.224158288,0.133714853,0.0,K,Cu,F
mp-5566,K1 Cu1 F3,5.650595204,5.647021428,5.647021828,90.13977443,119.8984754,119.8984763,cubic,Pm-3m,-2.355674593,0.002198548,0.0,K,Cu,F
mp-669347,K1 Cu1 F3,5.680055154,5.680679711,5.68068068,92.48404255,118.5797755,118.5797774,tet,I4/mcm,-2.357873141,0.0,0.0,K,Cu,F
mp-1147650,K1 Cu1 H3,5.371480941,5.371480941,5.371480941,114.4223778,114.4223778,99.96693585,tet,I4/mcm,-0.069324285,0.046504395,0.0,K,Cu,H
mp-1223513,K1 Cu1 S3,4.1767,3.438944,7.610688,90.0,90.0,90.0,ortho,Pmm2,-0.442745193,0.343337803,0.0,K,Cu,S
mp-1211599,K1 Dy1 Br3,7.64367,8.072648,11.057192,90.0,90.0,90.0,ortho,Pnma,-1.862130698,0.145281407,0.0,K,Dy,Br
mp-1206220,K1 Dy1 I3,8.236174972,8.236174972,11.668159,90.0,90.0,149.7190573,ortho,Cmcm,-1.449537318,0.099411348,0.0,K,Dy,I
mp-1184954,K1 Dy1 O3,4.46864,4.46864,4.46864,90.0,90.0,90.0,cubic,Pm-3m,-2.289703655,0.264965223,0.0,K,Dy,O
mp-973830,K1 Er1 O3,4.426509,4.426509,4.426509,90.0,90.0,90.0,cubic,Pm-3m,-2.325421858,0.255832053,0.0,K,Er,O
mp-23348,K1 Fe1 Br3,4.066261,9.526064,15.077003,90.0,90.0,90.0,ortho,Pnma,-1.270768166,0.051609727,0.0763,K,Fe,Br
